j,t,l, Inv, Inv_LB, shortage
A011, 25, Banda_Aceh_Port, 22, 0, 0
A011, 26, Phase_I__II_Recon_Deep_Staging_Location, 1, 0, 0
A011, 26, Phase_II_Farp_2A, 0, 0, 0
A011, 26, Phase_I_313_Staging_Location, 0, 0, 0
A011, 26, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 26, Phase_II_D2_PAA4, 2.66667, 1, 0
A011, 26, Phase_II_PAA2, 0, 0, 0
A011, 26, Sultan_Iskandar_Muda_Airport, 9.33333, 2, 0
A011, 26, Medan_Air_Base, 0, 0, 0
A011, 26, Phase_I_328_Staging_Location, 0, 0, 0
A011, 26, Phase_II_D3_PAA5, 0, 0, 0
A011, 26, Phase_II_D1_PAA_3, 0, 0, 0
A011, 26, Phase_I_128_Staging_Location, 2, 0, 0
A011, 26, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 26, Port_of_Belawan, 0, 0, 0
A011, 26, Banda_Aceh_Port, 22, 0, 0
A011, 27, Phase_I__II_Recon_Deep_Staging_Location, 1, 0, 0
A011, 27, Phase_II_Farp_2A, 0, 0, 0
A011, 27, Phase_I_313_Staging_Location, 0, 0, 0
A011, 27, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 27, Phase_II_D2_PAA4, 2.33333, 1, 0
A011, 27, Phase_II_PAA2, 0, 0, 0
A011, 27, Sultan_Iskandar_Muda_Airport, 8.66667, 2, 0
A011, 27, Medan_Air_Base, 0, 0, 0
A011, 27, Phase_I_328_Staging_Location, 0, 0, 0
A011, 27, Phase_II_D3_PAA5, 0, 0, 0
A011, 27, Phase_II_D1_PAA_3, 0, 0, 0
A011, 27, Phase_I_128_Staging_Location, 0, 0, 0
A011, 27, Phase_II_D-Day_128_Support_Area, 0, 0, 0
A011, 27, Port_of_Belawan, 0, 0, 0
A011, 27, Banda_Aceh_Port, 22, 0, 0
A011, 28, Phase_I__II_Recon_Deep_Staging_Location, 1, 0, 0
A011, 28, Phase_II_Farp_2A, 0, 0, 0
A011, 28, Phase_I_313_Staging_Location, 0, 0, 0
A011, 28, Phase_II_D1_128__328_Supporting_Position, 0, 0, 0
A011, 28, Phase_II_D2_PAA4, 4, 1, 0
A011, 28, Phase_II_PAA2, 0, 0, 0
A011, 28, Sultan_Iskandar_Muda_Airport, 8, 2, 0
A011, 28, Medan_Air_Base, 0, 0, 0
A011, 28, Phase_I_328_Staging_Location, 0, 0, 0
A011, 28, Phase_II_D3_PAA5, 0, 0, 0
